Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1510388880000,802.00000000,802.00000000,802.00000000,802.00000000,1.00000000,1510388939999,802.00000000,1,0.00000000,0.00000000
1510388940000,802.00000000,802.00000000,802.00000000,802.00000000,0.00000000,1510388999999,0.00000000,0,0.00000000,0.00000000
1510389000000,802.00000000,802.00000000,802.00000000,802.00000000,0.00000000,1510389059999,0.00000000,0,0.00000000,0.00000000
1510389060000,802.00000000,802.00000000,802.00000000,802.00000000,0.00000000,1510389119999,0.00000000,0,0.00000000,0.00000000
1510389120000,802.00000000,802.00000000,802.00000000,802.00000000,0.00000000,1510389179999,0.00000000,0,0.00000000,0.00000000
1510389180000,802.00000000,802.00000000,802.00000000,802.00000000,0.00000000,1510389239999,0.00000000,0,0.00000000,0.00000000
1510389240000,802.00000000,802.00000000,802.00000000,802.00000000,0.00000000,1510389299999,0.00000000,0,0.00000000,0.00000000
1510389300000,802.00000000,802.00000000,802.00000000,802.00000000,0.00000000,1510389359999,0.00000000,0,0.00000000,0.00000000
1510389360000,802.00000000,802.00000000,802.00000000,802.00000000,0.00000000,1510389419999,0.00000000,0,0.00000000,0.00000000
1510389420000,802.00000000,802.00000000,802.00000000,802.00000000,0.00000000,1510389479999,0.00000000,0,0.00000000,0.00000000
1510389480000,949.99000000,949.99000000,949.99000000,949.99000000,0.26996000,1510389539999,256.45930040,1,0.26996000,256.45930040
1510389540000,949.99000000,949.99000000,949.99000000,949.99000000,0.00000000,1510389599999,0.00000000,0,0.00000000,0.00000000
1510389600000,949.99000000,949.99000000,949.99000000,949.99000000,0.00322000,1510389659999,3.05896780,1,0.00322000,3.05896780
1510389660000,949.99000000,949.99000000,949.99000000,949.99000000,0.00000000,1510389719999,0.00000000,0,0.00000000,0.00000000
1510389720000,949.99000000,949.99000000,949.99000000,949.99000000,0.00000000,1510389779999,0.00000000,0,0.00000000,0.00000000
1510389780000,949.99000000,949.99000000,949.99000000,949.99000000,0.00000000,1510389839999,0.00000000,0,0.00000000,0.00000000
1510389840000,949.99000000,949.99000000,949.99000000,949.99000000,0.00000000,1510389899999,0.00000000,0,0.00000000,0.00000000
1510389900000,949.99000000,949.99000000,949.99000000,949.99000000,0.00000000,1510389959999,0.00000000,0,0.00000000,0.00000000
1510389960000,949.99000000,949.99000000,949.99000000,949.99000000,0.00000000,1510390019999,0.00000000,0,0.00000000,0.00000000
1510390020000,949.99000000,949.99000000,949.99000000,949.99000000,0.00000000,1510390079999,0.00000000,0,0.00000000,0.00000000
1510390080000,949.99000000,949.99000000,949.99000000,949.99000000,0.00000000,1510390139999,0.00000000,0,0.00000000,0.00000000
1510390140000,949.99000000,949.99000000,949.99000000,949.99000000,0.00000000,1510390199999,0.00000000,0,0.00000000,0.00000000
1510390200000,949.99000000,949.99000000,949.99000000,949.99000000,0.00000000,1510390259999,0.00000000,0,0.00000000,0.00000000
1510390260000,949.99000000,949.99000000,949.99000000,949.99000000,0.00000000,1510390319999,0.00000000,0,0.00000000,0.00000000
1510390320000,949.99000000,949.99000000,949.99000000,949.99000000,0.00000000,1510390379999,0.00000000,0,0.00000000,0.00000000
1510390380000,949.99000000,949.99000000,949.99000000,949.99000000,0.00000000,1510390439999,0.00000000,0,0.00000000,0.00000000
1510390440000,949.99000000,949.99000000,949.99000000,949.99000000,0.00000000,1510390499999,0.00000000,0,0.00000000,0.00000000
1510390500000,949.99000000,949.99000000,949.99000000,949.99000000,0.00000000,1510390559999,0.00000000,0,0.00000000,0.00000000
1510390560000,949.99000000,949.99000000,949.99000000,949.99000000,0.00000000,1510390619999,0.00000000,0,0.00000000,0.00000000
1510390620000,949.99000000,949.99000000,949.99000000,949.99000000,0.00000000,1510390679999,0.00000000,0,0.00000000,0.00000000
1510390680000,949.99000000,949.99000000,949.99000000,949.99000000,0.00000000,1510390739999,0.00000000,0,0.00000000,0.00000000
1510390740000,949.99000000,949.99000000,949.99000000,949.99000000,0.00000000,1510390799999,0.00000000,0,0.00000000,0.00000000
1510390800000,949.99000000,949.99000000,949.99000000,949.99000000,0.00000000,1510390859999,0.00000000,0,0.00000000,0.00000000
1510390860000,949.99000000,949.99000000,949.99000000,949.99000000,0.00000000,1510390919999,0.00000000,0,0.00000000,0.00000000
1510390920000,949.99000000,949.99000000,949.99000000,949.99000000,0.00000000,1510390979999,0.00000000,0,0.00000000,0.00000000
1510390980000,949.99000000,949.99000000,949.99000000,949.99000000,0.00000000,1510391039999,0.00000000,0,0.00000000,0.00000000
1510391040000,949.99000000,949.99000000,949.99000000,949.99000000,0.00000000,1510391099999,0.00000000,0,0.00000000,0.00000000
1510391100000,949.99000000,949.99000000,949.99000000,949.99000000,0.00000000,1510391159999,0.00000000,0,0.00000000,0.00000000
1510391160000,949.99000000,949.99000000,949.99000000,949.99000000,0.00000000,1510391219999,0.00000000,0,0.00000000,0.00000000
1510391220000,949.99000000,949.99000000,949.99000000,949.99000000,0.00000000,1510391279999,0.00000000,0,0.00000000,0.00000000
1510391280000,949.99000000,949.99000000,949.99000000,949.99000000,0.11000000,1510391339999,104.49890000,1,0.11000000,104.49890000
1510391340000,949.99000000,949.99000000,949.99000000,949.99000000,0.17999000,1510391399999,170.98870010,1,0.17999000,170.98870010
1510391400000,949.99000000,949.99000000,949.99000000,949.99000000,0.00000000,1510391459999,0.00000000,0,0.00000000,0.00000000
1510391460000,949.99000000,949.99000000,949.99000000,949.99000000,0.00000000,1510391519999,0.00000000,0,0.00000000,0.00000000
1510391520000,949.99000000,949.99000000,949.99000000,949.99000000,0.00000000,1510391579999,0.00000000,0,0.00000000,0.00000000
1510391580000,988.00000000,988.00000000,988.00000000,988.00000000,2.60094000,1510391639999,2569.72872000,1,2.60094000,2569.72872000
1510391640000,988.00000000,988.00000000,988.00000000,988.00000000,0.00000000,1510391699999,0.00000000,0,0.00000000,0.00000000
1510391700000,988.00000000,989.00000000,988.00000000,989.00000000,3.34050000,1510391759999,3302.55924000,4,3.29450000,3257.06524000
1510391760000,1000.00000000,1000.00000000,1000.00000000,1000.00000000,2.51265000,1510391819999,2512.65000000,2,2.51265000,2512.65000000
1510391820000,1000.00000000,1000.00000000,1000.00000000,1000.00000000,0.00000000,1510391879999,0.00000000,0,0.00000000,0.00000000
1510391880000,999.99000000,999.99000000,999.99000000,999.99000000,1.38092000,1510391939999,1380.90619080,1,1.38092000,1380.90619080
1510391940000,999.99000000,999.99000000,999.99000000,999.99000000,0.00000000,1510391999999,0.00000000,0,0.00000000,0.00000000
1510392000000,999.99000000,999.99000000,999.99000000,999.99000000,0.00000000,1510392059999,0.00000000,0,0.00000000,0.00000000
1510392060000,999.99000000,999.99000000,999.99000000,999.99000000,0.00000000,1510392119999,0.00000000,0,0.00000000,0.00000000
1510392120000,999.99000000,999.99000000,999.99000000,999.99000000,0.00000000,1510392179999,0.00000000,0,0.00000000,0.00000000
1510392180000,999.99000000,999.99000000,999.99000000,999.99000000,0.00000000,1510392239999,0.00000000,0,0.00000000,0.00000000
1510392240000,999.99000000,999.99000000,999.99000000,999.99000000,0.00000000,1510392299999,0.00000000,0,0.00000000,0.00000000
1510392300000,999.99000000,999.99000000,999.99000000,999.99000000,0.00000000,1510392359999,0.00000000,0,0.00000000,0.00000000
1510392360000,980.00000000,980.00000000,955.00000000,955.00000000,3.59687000,1510392419999,3441.46635000,2,0.25822000,253.05560000
1510392420000,955.00000000,955.00000000,955.00000000,955.00000000,0.00000000,1510392479999,0.00000000,0,0.00000000,0.00000000
1510392480000,955.00000000,955.00000000,955.00000000,955.00000000,0.00000000,1510392539999,0.00000000,0,0.00000000,0.00000000
1510392540000,955.00000000,955.00000000,955.00000000,955.00000000,0.00000000,1510392599999,0.00000000,0,0.00000000,0.00000000
1510392600000,956.00000000,956.00000000,956.00000000,956.00000000,0.18049000,1510392659999,172.54844000,1,0.00000000,0.00000000
1510392660000,956.00000000,956.00000000,956.00000000,956.00000000,8.03578000,1510392719999,7682.20568000,1,0.00000000,0.00000000
1510392720000,956.00000000,956.00000000,956.00000000,956.00000000,0.00000000,1510392779999,0.00000000,0,0.00000000,0.00000000
1510392780000,956.00000000,956.00000000,956.00000000,956.00000000,0.00000000,1510392839999,0.00000000,0,0.00000000,0.00000000
1510392840000,956.00000000,956.00000000,956.00000000,956.00000000,0.00000000,1510392899999,0.00000000,0,0.00000000,0.00000000
1510392900000,956.00000000,956.00000000,956.00000000,956.00000000,0.00000000,1510392959999,0.00000000,0,0.00000000,0.00000000
1510392960000,956.00000000,956.00000000,956.00000000,956.00000000,0.20000000,1510393019999,191.20000000,1,0.00000000,0.00000000
1510393020000,956.00000000,956.00000000,956.00000000,956.00000000,0.00000000,1510393079999,0.00000000,0,0.00000000,0.00000000
1510393080000,956.00000000,956.00000000,956.00000000,956.00000000,2.20526000,1510393139999,2108.22856000,1,0.00000000,0.00000000
1510393140000,956.00000000,956.00000000,956.00000000,956.00000000,1.00000000,1510393199999,956.00000000,1,0.00000000,0.00000000
1510393200000,956.00000000,956.00000000,956.00000000,956.00000000,0.00000000,1510393259999,0.00000000,0,0.00000000,0.00000000
1510393260000,956.00000000,956.00000000,956.00000000,956.00000000,0.00000000,1510393319999,0.00000000,0,0.00000000,0.00000000
1510393320000,956.00000000,956.00000000,956.00000000,956.00000000,0.00000000,1510393379999,0.00000000,0,0.00000000,0.00000000
1510393380000,956.00000000,956.00000000,956.00000000,956.00000000,0.00000000,1510393439999,0.00000000,0,0.00000000,0.00000000
1510393440000,999.99000000,1000.00000000,957.00000000,957.00000000,9.47575000,1510393499999,9460.57496990,7,8.26977000,8269.73999990
1510393500000,957.00000000,957.00000000,957.00000000,957.00000000,0.00000000,1510393559999,0.00000000,0,0.00000000,0.00000000
1510393560000,957.00000000,957.00000000,957.00000000,957.00000000,0.00000000,1510393619999,0.00000000,0,0.00000000,0.00000000
1510393620000,957.00000000,957.00000000,957.00000000,957.00000000,0.00000000,1510393679999,0.00000000,0,0.00000000,0.00000000
1510393680000,957.00000000,957.00000000,957.00000000,957.00000000,0.00000000,1510393739999,0.00000000,0,0.00000000,0.00000000
1510393740000,957.00000000,957.00000000,957.00000000,957.00000000,0.00000000,1510393799999,0.00000000,0,0.00000000,0.00000000
1510393800000,957.00000000,957.00000000,957.00000000,957.00000000,0.00000000,1510393859999,0.00000000,0,0.00000000,0.00000000
1510393860000,957.00000000,957.00000000,957.00000000,957.00000000,0.00000000,1510393919999,0.00000000,0,0.00000000,0.00000000
1510393920000,957.00000000,957.00000000,957.00000000,957.00000000,0.00000000,1510393979999,0.00000000,0,0.00000000,0.00000000
1510393980000,957.00000000,957.00000000,957.00000000,957.00000000,0.00000000,1510394039999,0.00000000,0,0.00000000,0.00000000
1510394040000,957.00000000,957.00000000,957.00000000,957.00000000,0.00000000,1510394099999,0.00000000,0,0.00000000,0.00000000
1510394100000,957.00000000,957.00000000,957.00000000,957.00000000,0.00000000,1510394159999,0.00000000,0,0.00000000,0.00000000
1510394160000,957.00000000,957.00000000,957.00000000,957.00000000,0.00000000,1510394219999,0.00000000,0,0.00000000,0.00000000
1510394220000,957.00000000,957.00000000,957.00000000,957.00000000,0.00000000,1510394279999,0.00000000,0,0.00000000,0.00000000
1510394280000,957.00000000,957.00000000,957.00000000,957.00000000,0.00000000,1510394339999,0.00000000,0,0.00000000,0.00000000
1510394340000,957.00000000,957.00000000,957.00000000,957.00000000,0.00000000,1510394399999,0.00000000,0,0.00000000,0.00000000
1510394400000,957.00000000,957.00000000,957.00000000,957.00000000,0.00000000,1510394459999,0.00000000,0,0.00000000,0.00000000
1510394460000,957.00000000,957.00000000,957.00000000,957.00000000,0.00000000,1510394519999,0.00000000,0,0.00000000,0.00000000
