,open time,open,high,low,close
0,2017-11-16,0.00000570,0.00014201,0.00000420,0.00000459
1,2017-11-17,0.00000459,0.00000497,0.00000399,0.00000426
2,2017-11-18,0.00000431,0.00000455,0.00000277,0.00000437
3,2017-11-19,0.00000439,0.00000459,0.00000399,0.00000417
4,2017-11-20,0.00000422,0.00000427,0.00000372,0.00000386
5,2017-11-21,0.00000386,0.00000458,0.00000362,0.00000449
6,2017-11-22,0.00000439,0.00000555,0.00000411,0.00000469
7,2017-11-23,0.00000466,0.00000500,0.00000430,0.00000487
8,2017-11-24,0.00000480,0.00000494,0.00000416,0.00000485
9,2017-11-25,0.00000491,0.00000495,0.00000433,0.00000442
10,2017-11-26,0.00000446,0.00000450,0.00000400,0.00000429
11,2017-11-27,0.00000429,0.00000439,0.00000370,0.00000412
12,2017-11-28,0.00000406,0.00000429,0.00000370,0.00000377
13,2017-11-29,0.00000382,0.00000505,0.00000362,0.00000385
14,2017-11-30,0.00000383,0.00000492,0.00000363,0.00000399
15,2017-12-01,0.00000399,0.00000441,0.00000350,0.00000386
16,2017-12-02,0.00000383,0.00000493,0.00000382,0.00000460
17,2017-12-03,0.00000459,0.00000482,0.00000442,0.00000447
18,2017-12-04,0.00000447,0.00000462,0.00000411,0.00000431
19,2017-12-05,0.00000431,0.00000627,0.00000402,0.00000546
20,2017-12-06,0.00000546,0.00000837,0.00000492,0.00000604
21,2017-12-07,0.00000615,0.00000631,0.00000401,0.00000405
22,2017-12-08,0.00000407,0.00000490,0.00000301,0.00000415
23,2017-12-09,0.00000415,0.00000489,0.00000402,0.00000424
24,2017-12-10,0.00000425,0.00000471,0.00000335,0.00000395
25,2017-12-11,0.00000408,0.00000593,0.00000357,0.00000457
26,2017-12-12,0.00000456,0.00000475,0.00000375,0.00000389
27,2017-12-13,0.00000396,0.00000437,0.00000390,0.00000435
28,2017-12-14,0.00000437,0.00000650,0.00000409,0.00000546
29,2017-12-15,0.00000555,0.00000560,0.00000386,0.00000503
30,2017-12-16,0.00000503,0.00000666,0.00000435,0.00000539
31,2017-12-17,0.00000540,0.00000600,0.00000500,0.00000567
32,2017-12-18,0.00000566,0.00000612,0.00000488,0.00000575
33,2017-12-19,0.00000576,0.00000670,0.00000533,0.00000612
34,2017-12-20,0.00000612,0.00000679,0.00000521,0.00000630
35,2017-12-21,0.00000633,0.00000691,0.00000618,0.00000643
36,2017-12-22,0.00000641,0.00000675,0.00000534,0.00000644
37,2017-12-23,0.00000638,0.00000680,0.00000565,0.00000673
38,2017-12-24,0.00000670,0.00000671,0.00000586,0.00000624
39,2017-12-25,0.00000625,0.00000825,0.00000612,0.00000755
40,2017-12-26,0.00000770,0.00000783,0.00000574,0.00000614
41,2017-12-27,0.00000614,0.00000675,0.00000559,0.00000635
42,2017-12-28,0.00000634,0.00000715,0.00000600,0.00000678
43,2017-12-29,0.00000678,0.00001020,0.00000677,0.00000919
44,2017-12-30,0.00000919,0.00000969,0.00000800,0.00000914
45,2017-12-31,0.00000916,0.00001418,0.00000902,0.00001298
46,2018-01-01,0.00001298,0.00001400,0.00001100,0.00001216
47,2018-01-02,0.00001215,0.00001220,0.00000857,0.00000976
48,2018-01-03,0.00000976,0.00001239,0.00000949,0.00001148
49,2018-01-04,0.00001151,0.00001649,0.00001142,0.00001412
50,2018-01-05,0.00001400,0.00001944,0.00001180,0.00001353
51,2018-01-06,0.00001352,0.00001758,0.00001322,0.00001605
52,2018-01-07,0.00001603,0.00001676,0.00001390,0.00001490
53,2018-01-08,0.00001490,0.00001568,0.00001291,0.00001468
54,2018-01-09,0.00001467,0.00001806,0.00001459,0.00001653
55,2018-01-10,0.00001653,0.00001698,0.00001300,0.00001385
56,2018-01-11,0.00001385,0.00001400,0.00001195,0.00001198
57,2018-01-12,0.00001197,0.00001582,0.00001113,0.00001362
58,2018-01-13,0.00001363,0.00001610,0.00001270,0.00001438
59,2018-01-14,0.00001446,0.00001730,0.00001255,0.00001326
60,2018-01-15,0.00001326,0.00001389,0.00001115,0.00001122
61,2018-01-16,0.00001123,0.00001128,0.00000768,0.00000877
62,2018-01-17,0.00000875,0.00000980,0.00000767,0.00000909
63,2018-01-18,0.00000912,0.00001100,0.00000856,0.00001058
64,2018-01-19,0.00001058,0.00001562,0.00001054,0.00001350
65,2018-01-20,0.00001359,0.00001380,0.00001151,0.00001244
66,2018-01-21,0.00001244,0.00001266,0.00001018,0.00001114
67,2018-01-22,0.00001113,0.00001315,0.00001058,0.00001128
68,2018-01-23,0.00001128,0.00001278,0.00001061,0.00001180
69,2018-01-24,0.00001183,0.00001418,0.00001104,0.00001138
70,2018-01-25,0.00001138,0.00001203,0.00001115,0.00001179
71,2018-01-26,0.00001179,0.00001323,0.00001041,0.00001243
72,2018-01-27,0.00001240,0.00001380,0.00001228,0.00001280
73,2018-01-28,0.00001280,0.00001491,0.00001250,0.00001346
74,2018-01-29,0.00001346,0.00001383,0.00001247,0.00001285
75,2018-01-30,0.00001284,0.00001299,0.00001153,0.00001213
76,2018-01-31,0.00001213,0.00001213,0.00001051,0.00001136
77,2018-02-01,0.00001142,0.00001238,0.00001020,0.00001048
78,2018-02-02,0.00001051,0.00001094,0.00000925,0.00001023
79,2018-02-03,0.00001024,0.00001099,0.00000961,0.00001058
80,2018-02-04,0.00001059,0.00001075,0.00000922,0.00000978
81,2018-02-05,0.00000978,0.00001010,0.00000813,0.00000873
82,2018-02-06,0.00000868,0.00000998,0.00000834,0.00000944
83,2018-02-07,0.00000943,0.00000990,0.00000867,0.00000900
84,2018-02-08,0.00000898,0.00000914,0.00000893,0.00000900
85,2018-02-09,0.00000906,0.00000988,0.00000896,0.00000967
86,2018-02-10,0.00000968,0.00001230,0.00000940,0.00001096
87,2018-02-11,0.00001096,0.00001180,0.00001003,0.00001042
88,2018-02-12,0.00001043,0.00001063,0.00001006,0.00001037
89,2018-02-13,0.00001037,0.00001047,0.00000942,0.00000965
90,2018-02-14,0.00000974,0.00000997,0.00000914,0.00000943
91,2018-02-15,0.00000939,0.00000975,0.00000862,0.00000896
92,2018-02-16,0.00000896,0.00000944,0.00000870,0.00000888
